asset_type,file_name,old_rel_path,new_rel_path,action
table,Backtest_Results_Table.csv,sync\ifns\Backtest_Results_Table.csv,sync\ifns\Backtest_Results_Table.csv,copied
table,calendar_gaps_2025.json,sync\ifns\calendar_gaps_2025.json,sync\ifns\calendar_gaps_2025.json,copied
table,clip_events_schema_v1.json,sync\ifns\clip_events_schema_v1.json,sync\ifns\clip_events_schema_v1.json,copied
table,clip_events_sample.ndjson,sync\ifns\examples\clip_events_sample.ndjson,sync\ifns\examples\clip_events_sample.ndjson,copied
table,feature_view_D1_demo.csv,sync\ifns\examples\feature_view_D1_demo.csv,sync\ifns\examples\feature_view_D1_demo.csv,copied
table,feature_view_H1_demo.csv,sync\ifns\examples\feature_view_H1_demo.csv,sync\ifns\examples\feature_view_H1_demo.csv,copied
table,indicator_feature_schema_d1_demo.csv,sync\ifns\examples\indicator_feature_schema_d1_demo.csv,sync\ifns\examples\indicator_feature_schema_d1_demo.csv,copied
table,indicator_feature_schema_h1_demo.csv,sync\ifns\examples\indicator_feature_schema_h1_demo.csv,sync\ifns\examples\indicator_feature_schema_h1_demo.csv,copied
table,training_manifest_D1_demo.json,sync\ifns\examples\training_manifest_D1_demo.json,sync\ifns\examples\training_manifest_D1_demo.json,copied
table,training_manifest_H1_demo.json,sync\ifns\examples\training_manifest_H1_demo.json,sync\ifns\examples\training_manifest_H1_demo.json,copied
table,Execution_API_Log.csv,sync\ifns\Execution_API_Log.csv,sync\ifns\Execution_API_Log.csv,copied
table,Experiment_Logs.csv,sync\ifns\Experiment_Logs.csv,sync\ifns\Experiment_Logs.csv,copied
table,feature_family_map.csv,sync\ifns\feature_family_map.csv,sync\ifns\feature_family_map.csv,copied
table,feature_policy_matrix.csv,sync\ifns\feature_policy_matrix.csv,sync\ifns\feature_policy_matrix.csv,copied
table,indicator_feature_schema_h1_v1_with_family.csv,sync\ifns\indicator_feature_schema_h1_v1_with_family.csv,sync\ifns\indicator_feature_schema_h1_v1_with_family.csv,copied
table,indicator_feature_schema_v1.csv,sync\ifns\indicator_feature_schema_v1.csv,sync\ifns\indicator_feature_schema_v1.csv,copied
table,indicator_feature_schema_v1_with_family.csv,sync\ifns\indicator_feature_schema_v1_with_family.csv,sync\ifns\indicator_feature_schema_v1_with_family.csv,copied
table,indicators_catalog_L1_phase3.csv,sync\ifns\indicators_catalog_L1_phase3.csv,sync\ifns\indicators_catalog_L1_phase3.csv,copied
table,indicators_catalog_L2L3_phase4.csv,sync\ifns\indicators_catalog_L2L3_phase4.csv,sync\ifns\indicators_catalog_L2L3_phase4.csv,copied
table,indicators_universe_catalog_phase2.csv,sync\ifns\indicators_universe_catalog_phase2.csv,sync\ifns\indicators_universe_catalog_phase2.csv,copied
table,lint_report.csv,sync\ifns\lint_report.csv,sync\ifns\lint_report.csv,copied
table,lint_report.json,sync\ifns\lint_report.json,sync\ifns\lint_report.json,copied
table,Model_Registry.csv,sync\ifns\Model_Registry.csv,sync\ifns\Model_Registry.csv,copied
table,Portfolio_Matrix.csv,sync\ifns\Portfolio_Matrix.csv,sync\ifns\Portfolio_Matrix.csv,copied
table,qc_weekly_example_v1.ndjson,sync\ifns\qc_weekly_example_v1.ndjson,sync\ifns\qc_weekly_example_v1.ndjson,copied
table,qc_weekly_schema_v1.json,sync\ifns\qc_weekly_schema_v1.json,sync\ifns\qc_weekly_schema_v1.json,copied
table,RiskAPI_Alerts.csv,sync\ifns\RiskAPI_Alerts.csv,sync\ifns\RiskAPI_Alerts.csv,copied
table,System_Layers_Tracker.csv,sync\ifns\System_Layers_Tracker.csv,sync\ifns\System_Layers_Tracker.csv,copied
table,test_assertions_manifest.json,sync\ifns\test_assertions_manifest.json,sync\ifns\test_assertions_manifest.json,copied
table,training_manifest_D1_v1_1.json,sync\ifns\training_manifest_D1_v1_1.json,sync\ifns\training_manifest_D1_v1_1.json,copied
table,training_manifest_H1_v1_0.json,sync\ifns\training_manifest_H1_v1_0.json,sync\ifns\training_manifest_H1_v1_0.json,copied
doc,Conceptual_Framework.md,docs\ifns\Conceptual_Framework.md,docs\ifns_legacy\Conceptual_Framework.md,copied
doc,Repo_Inventory_and_Git-Notion_Crosswalk_autopilot-notion-ops_2025_11_19.md,docs\ifns\crosswalks\Repo_Inventory_and_Git-Notion_Crosswalk_autopilot-notion-ops_2025_11_19.md,docs\ifns_legacy\crosswalks\Repo_Inventory_and_Git-Notion_Crosswalk_autopilot-notion-ops_2025_11_19.md,copied
doc,Dashboard_Analytics.md,docs\ifns\Dashboard_Analytics.md,docs\ifns_legacy\Dashboard_Analytics.md,copied
doc,Phase_0_Autopilot_Hub_Inventory.md,docs\ifns\handover\Phase_0_Autopilot_Hub_Inventory.md,docs\ifns_legacy\handover\Phase_0_Autopilot_Hub_Inventory.md,copied
doc,Phase_1_IFNS_14-Step_Spine_and_Hub_Structure.md,docs\ifns\handover\Phase_1_IFNS_14-Step_Spine_and_Hub_Structure.md,docs\ifns_legacy\handover\Phase_1_IFNS_14-Step_Spine_and_Hub_Structure.md,copied
doc,Phase_2_Attach_UI_Master_V2_to_14-Step_Spine.md,docs\ifns\handover\Phase_2_Attach_UI_Master_V2_to_14-Step_Spine.md,docs\ifns_legacy\handover\Phase_2_Attach_UI_Master_V2_to_14-Step_Spine.md,copied
doc,Phase_3_Telemetry_QC_Runtime_and_Calendar_Wiring.md,docs\ifns\handover\Phase_3_Telemetry_QC_Runtime_and_Calendar_Wiring.md,docs\ifns_legacy\handover\Phase_3_Telemetry_QC_Runtime_and_Calendar_Wiring.md,copied
doc,Phase_4_Catalog_and_Feature_Universe_Surfaces.md,docs\ifns\handover\Phase_4_Catalog_and_Feature_Universe_Surfaces.md,docs\ifns_legacy\handover\Phase_4_Catalog_and_Feature_Universe_Surfaces.md,copied
doc,Phase_5_Living_SoT_Rules_and_V1_Crosswalk.md,docs\ifns\handover\Phase_5_Living_SoT_Rules_and_V1_Crosswalk.md,docs\ifns_legacy\handover\Phase_5_Living_SoT_Rules_and_V1_Crosswalk.md,copied
doc,IFNS_UI_Drafts_and_Working_Notes_v2.md,docs\ifns\IFNS_UI_Drafts_and_Working_Notes_v2.md,docs\ifns_legacy\IFNS_UI_Drafts_and_Working_Notes_v2.md,copied
doc,IFNS_UI_Master_Summary_v2.md,docs\ifns\IFNS_UI_Master_Summary_v2.md,docs\ifns_legacy\IFNS_UI_Master_Summary_v2.md,copied
doc,IFNS_UI_Steps_Index_v2.md,docs\ifns\IFNS_UI_Steps_Index_v2.md,docs\ifns_legacy\IFNS_UI_Steps_Index_v2.md,copied
