indicator_id,name,family_role_primary,family_role_secondary,universe_tier,digitization_level,inputs,required_fields,default_params,default_timeframes,output_type_primary,formula_pseudocode,ml_role_primary,ml_role_secondary,feature_outputs_default,notes_phase3
sma_20,Simple Moving Average (20),Trend & Price Location,,0,formula,price,close,"{""window"": 20, ""price_field"": ""close""}","[""1h"",""1d""]",scalar,sma_20_t = mean(close_{t-19}...close_t),feature,context,"{""value"": true, ""state"": false, ""events"": false}",Baseline MA for short/medium trend context.
sma_50,Simple Moving Average (50),Trend & Price Location,,0,formula,price,close,"{""window"": 50, ""price_field"": ""close""}","[""1h"",""1d"",""1w""]",scalar,sma_50_t = mean(close_{t-49}...close_t),feature,context,"{""value"": true, ""state"": false, ""events"": false}",Longer trend context and support/resistance reference.
ema_12,Exponential Moving Average (12),Trend & Price Location,,0,formula,price,close,"{""window"": 12, ""price_field"": ""close""}","[""5m"",""15m"",""1h""]",scalar,"ema_12_t = EMA(close, window=12)",feature,context,"{""value"": true, ""state"": false, ""events"": false}",Short-term trend reference used in MACD and fast trend filters.
ema_26,Exponential Moving Average (26),Trend & Price Location,,0,formula,price,close,"{""window"": 26, ""price_field"": ""close""}","[""15m"",""1h"",""1d""]",scalar,"ema_26_t = EMA(close, window=26)",feature,context,"{""value"": true, ""state"": false, ""events"": false}",Medium-term trend reference used in MACD and swing context.
ema_50,Exponential Moving Average (50),Trend & Price Location,,0,formula,price,close,"{""window"": 50, ""price_field"": ""close""}","[""1h"",""1d"",""1w""]",scalar,"ema_50_t = EMA(close, window=50)",feature,context,"{""value"": true, ""state"": false, ""events"": false}",Core medium-horizon trend benchmark.
macd_12_26_9,"MACD (12,26,9)",Trend & Price Location,Momentum & Strength,0,formula,price,close,"{""fast_window"": 12, ""slow_window"": 26, ""signal_window"": 9}","[""15m"",""1h"",""1d""]",scalar,"ema_fast = EMA(close, 12); ema_slow = EMA(close, 26); macd = ema_fast - ema_slow; macd_signal = EMA(macd, 9); macd_hist = macd - macd_signal",feature,context,"{""value"": true, ""state"": false, ""events"": false}","Standard trend/momentum blend; may be output as multiple columns (line, signal, hist) in Phase 5."
price_location_20,Price Location vs 20-bar Range,Trend & Price Location,,0,formula,price,"high,low,close","{""window"": 20}","[""15m"",""1h"",""1d""]",oscillator,"hi = max(high_{t-19}...high_t); lo = min(low_{t-19}...low_t); price_location_20_t = (close_t - lo) / max(hi - lo, epsilon)",feature,context,"{""value"": true, ""state"": true, ""events"": false}",Normalized location in recent range; state thresholds (bottom/mid/top) can be derived in Phase 5.
rsi_14,Relative Strength Index (14),Momentum & Strength,Trend & Price Location,0,formula,price,close,"{""window"": 14}","[""15m"",""1h"",""1d""]",oscillator,"delta = close_t - close_{t-1}; gain = max(delta,0); loss = max(-delta,0); avg_gain = EMA(gain,14); avg_loss = EMA(loss,14); rs = avg_gain / max(avg_loss, epsilon); rsi = 100 - 100/(1+rs)",feature,filter,"{""value"": true, ""state"": true, ""events"": true}",Core bounded momentum oscillator; states (oversold/overbought) and cross events will be derived as separate features.
roc_10,Rate of Change (10),Momentum & Strength,,0,formula,price,close,"{""window"": 10}","[""5m"",""15m"",""1h"",""1d""]",scalar,"roc_10_t = (close_t - close_{t-10}) / max(|close_{t-10}|, epsilon)",feature,,"{""value"": true, ""state"": false, ""events"": false}",Basic normalized momentum magnitude.
mom_10,Momentum (10),Momentum & Strength,,0,formula,price,close,"{""window"": 10}","[""5m"",""15m"",""1h"",""1d""]",scalar,mom_10_t = close_t - close_{t-10},feature,,"{""value"": true, ""state"": false, ""events"": false}",Simple difference-based momentum.
