indicator_id,name,family_role_primary,family_role_secondary,level,universe_tier,digitization_level,construction_type,dependencies_L1,dependencies_external,inputs,output_type_primary,output_components,default_timeframes,pattern_window,state_space_def,ml_role_primary,ml_role_secondary,backtest_hooks,feature_outputs_default,notes_phase4
trend_mtf_v1,Multi-Timeframe Trend Framework v1,Trend & Price Location,Market Structure & Geometry,L3,1,rule,state_machine,"ema_12,ema_26,ema_50,sma_20,sma_50,price_location_20,atr_14",,price,category,"{""trend_state_mtf"": ""category"", ""trend_score_mtf"": ""scalar"", ""trend_state_short"": ""category"", ""trend_state_medium"": ""category"", ""trend_state_long"": ""category""}","[""15m"",""1h"",""1d""]","{""short"": ""15m"", ""medium"": ""1h"", ""long"": ""1d""}","{""trend_state_mtf"": [""strong_up"",""up"",""sideways"",""down"",""strong_down""]}",context,"feature,filter","{""slice_metrics"": [""PnL_by_trend_state"",""hit_rate_by_trend_state""], ""gate_usage"": [""strategy_activation_by_trend_state""]}","{""value"": true, ""state"": true, ""events"": false}",Aggregates MA slopes and price location across timeframes into discrete trend states and a score; hysteresis is used to avoid state churning.
structure_mtf_v1,Structure MTF Framework v1,Market Structure & Geometry,Trend & Price Location,L3,1,rule,state_machine,"swing_high_5,swing_low_5,range_high_20,range_low_20,atr_14",,price,category,"{""structure_state_mtf"": ""category"", ""swing_tier_labels"": ""episode""}","[""15m"",""1h"",""1d""]","{""minor_window"": 5, ""primary_window"": 20, ""major_window"": 60}","{""structure_state_mtf"": [""up_structure"",""down_structure"",""sideways_structure"",""transition""]}",context,feature,"{""slice_metrics"": [""PnL_by_structure_state""], ""gate_usage"": [""stop_target_rules_by_structure""]}","{""value"": true, ""state"": true, ""events"": true}",Builds tiered swing structure from L1 swings and infers HH/HL vs LH/LL regimes; outputs structure state and swing episodes.
sr_zone_v1,Support/Resistance Zones v1,Market Structure & Geometry,,L3,1,rule,pattern_engine,"range_high_20,range_low_20,swing_high_5,swing_low_5,volume,vol_sma_20,atr_14",,"price,volume",episode,"{""zone_episode"": {""zone_id"": ""string"", ""zone_type"": ""category"", ""price_low"": ""scalar"", ""price_high"": ""scalar"", ""strength_score"": ""scalar"", ""first_touch_ts"": ""timestamp"", ""last_touch_ts"": ""timestamp"", ""touch_count"": ""int""}}","[""1h"",""1d""]","{""cluster_window"": 60, ""min_touches"": 2}","{""zone_type"": [""support"",""resistance""]}",context,"feature,risk","{""slice_metrics"": [""PnL_by_zone_interaction""], ""gate_usage"": [""avoid_entries_near_strong_zone""]}","{""value"": true, ""state"": false, ""events"": true}",Clusters swing points and highs/lows into price zones with ATR-based width; tracks touches and assigns strength scores.
breakout_flag_v1,Breakout Flag v1,Market Structure & Geometry,Trend & Price Location,L2,1,rule,pattern_engine,"range_high_20,range_low_20,atr_14",,price,flag,"{""breakout_flag_up"": ""flag"", ""breakout_flag_down"": ""flag""}","[""5m"",""15m"",""1h""]","{""lookback"": 20, ""min_breakout_atr"": 1.0}","{""breakout_flag_up"": [0,1], ""breakout_flag_down"": [0,1]}",filter,context,"{""slice_metrics"": [""PnL_around_breakouts""], ""gate_usage"": [""entry_triggers_breakouts""]}","{""value"": false, ""state"": false, ""events"": true}",Flags breakout/breakdown events when price escapes recent range by ATR-scaled thresholds; optionally requires close confirmation.
vol_regime_state_v1,Volatility Regime State v1,Volatility & Range,Event & Regime,L3,2,rule,state_machine,"atr_14,realized_vol_20",,price,category,"{""vol_regime_state"": ""category""}","[""1h"",""1d""]","{""baseline_window"": 250, ""hysteresis"": true}","{""vol_regime_state"": [""calm"",""normal"",""stressed""]}",context,filter,"{""slice_metrics"": [""PnL_by_vol_regime"",""hit_rate_by_vol_regime""], ""gate_usage"": [""disable_strategies_in_stress""]}","{""value"": false, ""state"": true, ""events"": true}",Maps normalized ATR/realized volatility to discrete regimes using long-run baselines and hysteresis to avoid chattering.
liq_stress_v1,Liquidity Stress Score v1,Volume / Flow / Liquidity,Risk & Exposure,L3,2,ml_pattern,composite_score,"volume,vol_sma_20,spread_bp,ofi_20,depth_imbalance_1,true_range,atr_14","slippage_labels,execution_costs","price,volume,orderbook",scalar,"{""liq_stress_score"": ""scalar"", ""liq_stress_state"": ""category""}","[""intraday"",""1h""]","{""lookback"": 20}","{""liq_stress_state"": [""normal"",""tight"",""stressed""]}",risk,"context,filter","{""slice_metrics"": [""TE_by_liq_state"",""slippage_by_liq_state""], ""gate_usage"": [""throttle_size_in_stressed""]}","{""value"": true, ""state"": true, ""events"": true}","Composite ML or rule-based score using spread, volume, depth, and impact proxies; governs execution aggressiveness and risk gates."
candle_pattern_basic_v1,Basic Candle Pattern Flags v1,Candle Grammar & Micro-Patterns,Market Structure & Geometry,L2,1,rule,pattern_engine,"candle_body_pct,upper_wick_pct,lower_wick_pct,close_pos_pct",,price,flag,"{""is_doji"": ""flag"", ""is_pinbar_bull"": ""flag"", ""is_pinbar_bear"": ""flag"", ""is_hammer"": ""flag"", ""is_shooting_star"": ""flag"", ""is_strong_bull"": ""flag"", ""is_strong_bear"": ""flag""}","[""all""]","{""lookback"": 1}","{""patterns"": [""doji"",""pinbar_bull"",""pinbar_bear"",""hammer"",""shooting_star"",""strong_bull"",""strong_bear""]}",feature,context,"{""slice_metrics"": [""PnL_after_pattern""], ""gate_usage"": [""entry_filters_using_patterns""]}","{""value"": false, ""state"": false, ""events"": true}",Rule-based detection of classic single-candle patterns using body and wick proportions and close location.
multi_candle_pattern_v1,Multi-Candle Pattern v1,Candle Grammar & Micro-Patterns,Market Structure & Geometry,L2,1,rule,pattern_engine,"candle_body_pct,upper_wick_pct,lower_wick_pct,close_pos_pct",,price,flag,"{""is_engulfing_bull"": ""flag"", ""is_engulfing_bear"": ""flag"", ""is_morning_star"": ""flag"", ""is_evening_star"": ""flag""}","[""all""]","{""lookback"": 3}","{""patterns"": [""engulfing_bull"",""engulfing_bear"",""morning_star"",""evening_star""]}",feature,context,"{""slice_metrics"": [""PnL_after_multi_patterns""], ""gate_usage"": [""signal_filters_multi_patterns""]}","{""value"": false, ""state"": false, ""events"": true}",Two- and three-candle patterns detected via rules on consecutive candles; used mainly as explanatory or fine-tuning features.
candle_embedding_v1,Candle Embedding v1,Candle Grammar & Micro-Patterns,,L3,2,ml_pattern,pattern_engine,"candle_body_pct,upper_wick_pct,lower_wick_pct,close_pos_pct",training_dataset_candles,price,vector,"{""candle_embedding"": ""vector_16""}","[""5m"",""15m"",""1h""]","{""window"": 20}",{},feature,context,"{""slice_metrics"": [""cluster_stats_by_embedding""], ""gate_usage"": []}","{""value"": true, ""state"": false, ""events"": false}",Sequence-model-based embedding of last N candles into a fixed-length vector; used as dense input representation for advanced models.
candle_cluster_id_v1,Candle Cluster ID v1,Candle Grammar & Micro-Patterns,,L3,2,ml_pattern,pattern_engine,candle_embedding_v1,cluster_model_candles,price,category,"{""candle_cluster_id"": ""category""}","[""5m"",""15m"",""1h""]","{""window"": 20}","{""candle_cluster_id"": ""integer_id""}",context,feature,"{""slice_metrics"": [""PnL_by_candle_cluster""], ""gate_usage"": [""cluster_specific_rules""]}","{""value"": false, ""state"": true, ""events"": false}",Maps candle embeddings into discrete cluster IDs representing micro-pattern states; often used for slicing and context conditioning.
